,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,,[Removed],[Removed],https://removed.com,,2024-10-16T22:39:13Z,[Removed],,[Removed]
1,Billy Steele,Apple Music helps artists turn concert set lists into playlists,"There's a certain level of fandom you hit when you research a band's tour set list before they come to your city. And some of us like to relive great concerts with some quick research on setlist.fm. The next logical step, once we're armed with this informatio…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7ea2282d-108d-445c-b4b9-8c1fd169551d,,2024-10-17T13:39:16Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
2,,[Removed],[Removed],https://removed.com,,2024-10-10T23:01:41Z,[Removed],,[Removed]
3,"Kyle Orland, Ars Technica",Apple Engineers Show How Flimsy AI ‘Reasoning’ Can Be,The new frontier in large language models is the ability to “reason” their way through problems. New research from Apple says it's not quite what it's cracked up to be.,https://www.wired.com/story/apple-ai-llm-reasoning-research/,"https://media.wired.com/photos/670eb29ca88ac76b34d258c1/191:100/w_1280,c_limit/apple-llm-fail-biz.jpg",2024-10-15T11:00:00Z,"For a while now, companies like OpenAI and Google have been touting advanced ""reasoning"" capabilities as the next big step in their latest artificial intelligence models. Now, though, a new study fro… [+4477 chars]",wired,Wired
4,Anna Washenko,"The Apple Pencil Pro is 30 percent off, taking it down to an all-time low price","Apple doesn't offer many discounts for its product lineup, so seeing one of its tablet accessories on sale for a third off the usual cost is exciting. The Apple Pencil Pro is available on Amazon for just $90, the lowest price we've seen for it. This is the mo…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_2711bbdf-0325-4496-a71b-8ef9816078e3,,2024-10-15T21:03:11Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
5,Sheena Vasani,The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard,OnePlus is selling the OnePlus Pad for $359.99 with a free magnetic keyboard. Amazon’s Smart Thermostat and the USB-C Apple Pencil are also on sale.,https://www.theverge.com/2024/10/16/24270849/oneplus-pad-amazon-smart-thermostat-deal-sale,https://cdn.vox-cdn.com/thumbor/q6NYMVwsOkSC_9UJcuxsqIsnFhs=/0x0:3000x2000/1200x628/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24616039/oneplus_pad_6.jpg,2024-10-16T15:38:21Z,"The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard
The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard
 / We also found deals on the Amazon Smart … [+3298 chars]",the-verge,The Verge
6,Gizmodo Deals,"One Day After Prime Day, Amazon Crushes iPad Prices by 40%",A 40% reduction on an Apple product is historic.,https://gizmodo.com/amazon-crushes-ipad-prices-by-40-hitting-apple-hard-prime-day-2000509556,https://gizmodo.com/app/uploads/2024/09/ipad-9th.jpg,2024-10-10T12:24:51Z,The 9th generation iPad is originally priced at $329 is now available for an astounding $199. This is a massive 40% discount which brings the price of this versatile tablet to its lowest point ever. … [+1493 chars],,Gizmodo.com
7,Gizmodo Deals,"Four Days After Prime Day, Amazon Slashes The Price Of AirPods Max To A Record Low","At less than $400, this Apple headset is an excellent bargain.",https://gizmodo.com/four-days-after-prime-day-amazon-slashes-the-price-of-airpods-max-to-a-record-low-2000511566,https://gizmodo.com/app/uploads/2024/07/airpods-max-apple.jpg,2024-10-13T11:15:55Z,"As the autumn leaves begin to fall and the crisp October air settles in, Amazon has decided to extend its Prime Day festivities and offers a great opportunity for audiophiles. This Sunday, a particul… [+2289 chars]",,Gizmodo.com
8,Dua Rashid,Apple Intelligence Is Set to Make Your Attention Span Even Shorter,These are all the Apple Intelligence features coming to iPhone on October 28.,https://gizmodo.com/apple-intelligence-is-set-to-make-your-attention-span-even-shorter-2000510763,https://gizmodo.com/app/uploads/2024/10/iphone-16.jpg,2024-10-15T19:34:33Z,"One of the biggest blows to our attention spans happened when content started being squeezed into 10-second TikToks, Reels, and Snaps. That gradually made watching long-form content fairly difficult.… [+3074 chars]",,Gizmodo.com
9,Jay Peters,Ticketmaster will start using Apple Wallet’s more useful tickets this month,Ticketmaster announced that it will be the first ticketing company to use Apple’s upgraded Apple Wallet tickets for iOS 18. The first event to use the tickets will be an October 19th Los Angeles Football Club game.,https://www.theverge.com/2024/10/10/24267269/ticketmaster-apple-wallet-new-tickets,https://cdn.vox-cdn.com/thumbor/ogn1mVbYQv9S5xK9iYeuplQo7Es=/0x0:2048x1150/1200x628/filters:focal(1024x575:1025x576)/cdn.vox-cdn.com/uploads/chorus_asset/file/25670129/Apple_Wallet_B2B_Blog_Header_204.jpg,2024-10-10T21:56:13Z,"Image: Ticketmaster

 

 Ticketmaster announced today that it will be the first ticketing company to use Apple’s upgraded Apple Wallet tickets for iOS 18. With the improved tickets, you’ll be able t… [+751 chars]",the-verge,The Verge
